


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.7.3     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Jan 21 2023 10:20:08     Directory:  hool/2022/Vex Robotics


x, y, angle, reqX, reqY, reqAng, xPow, yPow, angPow
5.998754, 3.009242, 0.040931, 19.001246, 32.990758, 0.040931, 127.000000, 127.000000, 127.000000
6.001471, 3.009240, 0.061913, 18.998529, 32.990760, 0.061913, 127.000000, 127.000000, 127.000000
7.004217, 3.007973, 0.063185, 17.995783, 32.992027, 0.063185, 127.000000, 127.000000, 127.000000
7.004940, 3.507972, 0.053902, 17.995060, 32.492028, 0.053902, 127.000000, 127.000000, 127.000000
7.003725, 3.507973, 0.049188, 17.996275, 32.492027, 0.049188, 127.000000, 127.000000, 127.000000
7.003108, 3.507974, 0.070253, 17.996892, 32.492026, 0.070253, 127.000000, 127.000000, 127.000000
7.005865, 3.507970, 0.096360, 17.994135, 32.492030, 0.096360, 127.000000, 127.000000, 127.000000
8.009281, 3.506054, 0.105385, 16.990719, 32.493946, 0.105385, 127.000000, 127.000000, 127.000000
8.011421, 4.006050, 0.127212, 16.988579, 31.993950, 0.127212, 127.000000, 127.000000, 127.000000
8.015484, 4.506042, 0.150077, 16.984516, 31.493958, 0.150077, 127.000000, 127.000000, 127.000000
8.018477, 4.506034, 0.169179, 16.981523, 31.493966, 0.169179, 127.000000, 127.000000, 127.000000
9.020972, 4.502906, 0.175430, 15.979028, 31.497094, 0.175430, 127.000000, 127.000000, 127.000000
9.023349, 5.002901, 0.162040, 15.976651, 30.997099, 0.162040, 127.000000, 127.000000, 127.000000
9.021596, 5.002906, 0.132284, 15.978404, 30.997094, 0.132284, 127.000000, 127.000000, 127.000000
9.018726, 5.502913, 0.113670, 15.981274, 30.497087, 0.113670, 127.000000, 127.000000, 127.000000
10.016287, 5.501096, 0.105362, 14.983713, 30.498904, 0.105362, 127.000000, 127.000000, 127.000000
10.016083, 6.001097, 0.081977, 14.983917, 29.998903, 0.081977, 127.000000, 127.000000, 127.000000
10.013022, 6.001101, 0.063601, 14.986978, 29.998899, 0.063601, 127.000000, 127.000000, 127.000000
10.010617, 6.001103, 0.055488, 14.989383, 29.998897, 0.055488, 127.000000, 127.000000, 127.000000
10.010003, 6.501104, 0.049782, 14.989997, 29.498896, 0.049782, 127.000000, 127.000000, 127.000000
11.009666, 7.000285, 0.046504, 13.990334, 28.999715, 0.046504, 127.000000, 127.000000, 127.000000
11.009237, 7.000286, 0.041168, 13.990763, 28.999714, 0.041168, 127.000000, 127.000000, 127.000000
11.008538, 7.000286, 0.009100, 13.991462, 28.999714, 0.009100, 127.000000, 127.000000, 127.000000
11.004280, 7.500286, 359.980586, 13.995720, 28.499714, 0.019414, 127.000000, 127.000000, 127.000000
12.000547, 7.500871, 359.954917, 12.999453, 28.499129, 0.045083, 127.000000, 127.000000, 127.000000
11.996682, 8.000868, 359.948524, 13.003318, 27.999132, 0.051476, 127.000000, 127.000000, 127.000000
11.995845, 8.000867, 359.953446, 13.004155, 27.999133, 0.046554, 127.000000, 127.000000, 127.000000
11.996104, 8.500867, 359.965737, 13.003896, 27.499133, 0.034263, 127.000000, 127.000000, 127.000000
12.997713, 8.501359, 359.983327, 12.002287, 27.498641, 0.016673, 127.000000, 127.000000, 127.000000
12.999947, 9.001359, 359.995281, 12.000053, 26.998641, 0.004719, 127.000000, 127.000000, 127.000000
13.001512, 9.001359, 0.003883, 11.998488, 26.998641, 0.003883, 127.000000, 127.000000, 127.000000
13.002709, 9.501359, 0.008736, 11.997291, 26.498641, 0.008736, 127.000000, 127.000000, 127.000000
14.003344, 9.501164, 0.009880, 10.996656, 26.498836, 0.009880, 127.000000, 127.000000, 127.000000
14.003585, 10.001164, 0.026181, 10.996415, 25.998836, 0.026181, 127.000000, 127.000000, 127.000000
14.005719, 10.001163, 0.038906, 10.994281, 25.998837, 0.038906, 127.000000, 127.000000, 127.000000
14.007385, 10.001161, 0.054744, 10.992615, 25.998839, 0.054744, 127.000000, 127.000000, 127.000000
14.010005, 10.501159, 0.064147, 10.989995, 25.498841, 0.064147, 127.000000, 127.000000, 127.000000
15.011836, 10.999955, 0.059467, 9.988164, 25.000045, 0.059467, 127.000000, 127.000000, 127.000000
15.011223, 10.999956, 0.053372, 9.988777, 25.000044, 0.053372, 127.000000, 127.000000, 127.000000
15.010425, 10.999956, 0.054709, 9.989575, 25.000044, 0.054709, 127.000000, 127.000000, 127.000000
15.010600, 10.999956, 0.066089, 9.989400, 25.000044, 0.066089, 127.000000, 127.000000, 127.000000
16.012716, 11.498701, 0.053169, 8.987284, 24.501299, 0.053169, 127.000000, 127.000000, 127.000000
16.011432, 11.998702, 0.031622, 8.988568, 24.001298, 0.031622, 127.000000, 127.000000, 127.000000
16.008612, 11.998703, 0.027461, 8.991388, 24.001297, 0.027461, 127.000000, 127.000000, 127.000000
16.008067, 11.998704, 0.016513, 8.991933, 24.001296, 0.016513, 127.000000, 127.000000, 127.000000
17.006730, 12.498511, 0.028186, 7.993270, 23.501489, 0.028186, 127.000000, 127.000000, 127.000000
17.008258, 12.498510, 0.033483, 7.991742, 23.501490, 0.033483, 127.000000, 127.000000, 127.000000
17.008952, 12.498510, 0.022788, 7.991048, 23.501490, 0.022788, 127.000000, 127.000000, 127.000000
17.007552, 12.498510, 0.001068, 7.992448, 23.501490, 0.001068, 127.000000, 127.000000, 127.000000
18.004623, 12.998681, 359.971221, 6.995377, 23.001319, 0.028779, 127.000000, 127.000000, 127.000000
