


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.7.3     Platform:  V1.1.2 (b34)     Uptime:    0.000 s
Compiled:   Jan 21 2023 09:41:44     Directory:  hool/2022/Vex Robotics


x, y, angle, reqX, reqY, reqAng, xPow, yPow, angPow
6.542875, 1.287609, 50.305128, 93.457125, 98.712391, 50.305128, 127.000000, 127.000000, 127.000000
7.050058, 1.455670, 51.755589, 92.949942, 98.544330, 51.755589, 127.000000, 127.000000, 127.000000
7.165690, 1.305079, 53.209595, 92.834310, 98.694921, 53.209595, 127.000000, 127.000000, 127.000000
7.277733, 1.151224, 54.616161, 92.722267, 98.848776, 54.616161, 127.000000, 127.000000, 127.000000
7.793666, 1.284316, 55.975666, 92.206334, 98.715684, 55.975666, 127.000000, 127.000000, 127.000000
7.891485, 1.135653, 57.336362, 92.108515, 98.864347, 57.336362, 127.000000, 127.000000, 127.000000
7.985827, 0.984576, 58.707169, 92.014173, 99.015424, 58.707169, 127.000000, 127.000000, 127.000000
7.568036, 1.690813, 60.076151, 92.431964, 98.309187, 60.076151, 127.000000, 127.000000, 127.000000
8.091861, 1.778676, 61.415868, 91.908139, 98.221324, 61.415868, 127.000000, 127.000000, 127.000000
8.173959, 1.623712, 62.740865, 91.826041, 98.376288, 62.740865, 127.000000, 127.000000, 127.000000
8.251610, 1.468624, 64.061613, 91.748390, 98.531376, 64.061613, 127.000000, 127.000000, 127.000000
8.777558, 1.525798, 65.392623, 91.222442, 98.474202, 65.392623, 127.000000, 127.000000, 127.000000
8.848261, 1.366560, 66.715816, 91.151739, 98.633440, 66.715816, 127.000000, 127.000000, 127.000000
8.530227, 2.129740, 68.066207, 91.469773, 97.870260, 68.066207, 127.000000, 127.000000, 127.000000
8.594319, 1.965002, 69.440874, 91.405681, 98.034998, 69.440874, 127.000000, 127.000000, 127.000000
9.125712, 1.965732, 70.814638, 90.874288, 98.034268, 70.814638, 127.000000, 127.000000, 127.000000
9.182767, 1.795198, 72.174227, 90.817233, 98.204802, 72.174227, 127.000000, 127.000000, 127.000000
8.940427, 2.580694, 73.527294, 91.059573, 97.419306, 73.527294, 127.000000, 127.000000, 127.000000
8.988640, 2.410267, 74.885613, 91.011360, 97.589733, 74.885613, 127.000000, 127.000000, 127.000000
9.517179, 2.362719, 76.261016, 90.482821, 97.637281, 76.261016, 127.000000, 127.000000, 127.000000
9.557836, 2.187330, 77.636807, 90.442164, 97.812670, 77.636807, 127.000000, 127.000000, 127.000000
9.391915, 2.990276, 79.003249, 90.608085, 97.009724, 79.003249, 127.000000, 127.000000, 127.000000
9.423939, 2.814299, 80.356033, 90.576061, 97.185701, 80.356033, 127.000000, 127.000000, 127.000000
9.451541, 2.639384, 81.713266, 90.548459, 97.360616, 81.713266, 127.000000, 127.000000, 127.000000
9.838264, 3.520682, 83.056073, 90.161736, 96.479318, 83.056073, 127.000000, 127.000000, 127.000000
9.857469, 3.345961, 84.405057, 90.142531, 96.654039, 84.405057, 127.000000, 127.000000, 127.000000
9.872615, 3.170031, 85.764472, 90.127385, 96.829969, 85.764472, 127.000000, 127.000000, 127.000000
